year_half_created_at,store_name,tpv
2024-H1,G Coffee @ USJ 89q,2058314.0
2024-H1,G Coffee @ Kondominium Putra,2053099.0
2024-H1,G Coffee @ USJ 57W,2055832.0
2024-H1,G Coffee @ Kampung Changkat,2066550.0
2024-H1,G Coffee @ Seksyen 21,2061336.5
2024-H1,G Coffee @ Alam Tun Hussein Onn,2053737.0
2024-H1,G Coffee @ Damansara Saujana,2067700.5
2024-H1,G Coffee @ Bandar Seri Mulia,2067969.0
2024-H1,G Coffee @ PJS8,2062318.0
2024-H1,G Coffee @ Taman Damansara,2077565.0
2024-H2,G Coffee @ USJ 89q,2059398.0
2024-H2,G Coffee @ Kondominium Putra,2065404.0
2024-H2,G Coffee @ USJ 57W,2070835.5
2024-H2,G Coffee @ Kampung Changkat,2059127.0
2024-H2,G Coffee @ Seksyen 21,2052749.0
2024-H2,G Coffee @ Alam Tun Hussein Onn,2054711.5
2024-H2,G Coffee @ Damansara Saujana,2065807.5
2024-H2,G Coffee @ Bandar Seri Mulia,2073812.0
2024-H2,G Coffee @ PJS8,2064143.5
2024-H2,G Coffee @ Taman Damansara,2051691.5
2025-H1,G Coffee @ USJ 89q,3912600.5
2025-H1,G Coffee @ Kondominium Putra,3943068.5
2025-H1,G Coffee @ USJ 57W,3940833.0
2025-H1,G Coffee @ Kampung Changkat,3942525.0
2025-H1,G Coffee @ Seksyen 21,3931317.5
2025-H1,G Coffee @ Alam Tun Hussein Onn,3933748.5
2025-H1,G Coffee @ Damansara Saujana,3912534.5
2025-H1,G Coffee @ Bandar Seri Mulia,3916665.5
2025-H1,G Coffee @ PJS8,3930009.5
2025-H1,G Coffee @ Taman Damansara,3914299.0
