store_name,birthdate,purchases_qty
G Coffee @ Alam Tun Hussein Onn,1969-07-31,6
G Coffee @ Alam Tun Hussein Onn,1972-11-18,6
G Coffee @ Alam Tun Hussein Onn,1976-12-06,6
G Coffee @ Alam Tun Hussein Onn,1977-07-12,6
G Coffee @ Alam Tun Hussein Onn,1978-01-21,6
G Coffee @ Alam Tun Hussein Onn,1978-12-22,6
G Coffee @ Alam Tun Hussein Onn,1978-12-25,6
G Coffee @ Alam Tun Hussein Onn,1980-12-08,6
G Coffee @ Alam Tun Hussein Onn,1986-01-25,6
G Coffee @ Alam Tun Hussein Onn,1988-01-23,6
G Coffee @ Alam Tun Hussein Onn,1989-03-04,6
G Coffee @ Alam Tun Hussein Onn,1990-03-10,6
G Coffee @ Alam Tun Hussein Onn,1990-05-18,6
G Coffee @ Alam Tun Hussein Onn,1992-10-06,6
G Coffee @ Alam Tun Hussein Onn,1998-04-25,6
G Coffee @ Alam Tun Hussein Onn,1999-05-18,6
G Coffee @ Alam Tun Hussein Onn,1999-07-21,6
G Coffee @ Alam Tun Hussein Onn,2002-03-16,6
G Coffee @ Alam Tun Hussein Onn,2002-04-17,6
G Coffee @ Alam Tun Hussein Onn,2004-09-06,6
G Coffee @ Alam Tun Hussein Onn,2004-12-12,6
G Coffee @ Alam Tun Hussein Onn,2006-12-07,6
G Coffee @ Alam Tun Hussein Onn,1966-04-05,7
G Coffee @ Alam Tun Hussein Onn,1977-02-12,7
G Coffee @ Alam Tun Hussein Onn,1980-03-17,7
G Coffee @ Alam Tun Hussein Onn,1981-12-15,7
G Coffee @ Alam Tun Hussein Onn,1983-04-03,7
G Coffee @ Alam Tun Hussein Onn,1983-04-09,7
G Coffee @ Alam Tun Hussein Onn,1984-08-25,7
G Coffee @ Alam Tun Hussein Onn,1985-12-21,7
G Coffee @ Alam Tun Hussein Onn,2006-04-13,7
G Coffee @ Alam Tun Hussein Onn,2007-06-04,7
G Coffee @ Alam Tun Hussein Onn,1973-10-31,8
G Coffee @ Alam Tun Hussein Onn,1997-08-10,8
G Coffee @ Alam Tun Hussein Onn,2006-01-28,8
G Coffee @ Bandar Seri Mulia,1966-09-03,6
G Coffee @ Bandar Seri Mulia,1967-02-08,6
G Coffee @ Bandar Seri Mulia,1967-04-27,6
G Coffee @ Bandar Seri Mulia,1968-01-16,6
G Coffee @ Bandar Seri Mulia,1969-12-15,6
G Coffee @ Bandar Seri Mulia,1970-09-02,6
G Coffee @ Bandar Seri Mulia,1974-05-30,6
G Coffee @ Bandar Seri Mulia,1976-05-04,6
G Coffee @ Bandar Seri Mulia,1981-07-05,6
G Coffee @ Bandar Seri Mulia,1982-01-01,6
G Coffee @ Bandar Seri Mulia,1982-04-28,6
G Coffee @ Bandar Seri Mulia,1982-08-31,6
G Coffee @ Bandar Seri Mulia,1982-12-08,6
G Coffee @ Bandar Seri Mulia,1985-08-25,6
G Coffee @ Bandar Seri Mulia,1986-05-07,6
G Coffee @ Bandar Seri Mulia,1987-01-14,6
G Coffee @ Bandar Seri Mulia,1988-04-30,6
G Coffee @ Bandar Seri Mulia,1991-01-31,6
G Coffee @ Bandar Seri Mulia,1991-05-01,6
G Coffee @ Bandar Seri Mulia,1998-04-01,6
G Coffee @ Bandar Seri Mulia,1998-10-09,6
G Coffee @ Bandar Seri Mulia,1999-08-18,6
G Coffee @ Bandar Seri Mulia,2000-07-25,6
G Coffee @ Bandar Seri Mulia,2000-11-07,6
G Coffee @ Bandar Seri Mulia,2004-07-08,6
G Coffee @ Bandar Seri Mulia,2006-01-15,6
G Coffee @ Bandar Seri Mulia,2009-06-02,6
G Coffee @ Bandar Seri Mulia,1964-09-05,7
G Coffee @ Bandar Seri Mulia,1979-12-13,7
G Coffee @ Bandar Seri Mulia,1980-04-03,7
G Coffee @ Bandar Seri Mulia,1991-01-05,7
G Coffee @ Bandar Seri Mulia,2003-08-14,7
G Coffee @ Bandar Seri Mulia,1983-08-25,8
G Coffee @ Bandar Seri Mulia,1991-05-16,8
G Coffee @ Bandar Seri Mulia,2000-06-30,8
G Coffee @ Damansara Saujana,1970-06-02,6
G Coffee @ Damansara Saujana,1972-03-24,6
G Coffee @ Damansara Saujana,1972-08-07,6
G Coffee @ Damansara Saujana,1973-12-24,6
G Coffee @ Damansara Saujana,1974-08-16,6
G Coffee @ Damansara Saujana,1976-04-16,6
G Coffee @ Damansara Saujana,1977-09-22,6
G Coffee @ Damansara Saujana,1979-05-15,6
G Coffee @ Damansara Saujana,1980-02-10,6
G Coffee @ Damansara Saujana,1980-11-18,6
G Coffee @ Damansara Saujana,1982-07-16,6
G Coffee @ Damansara Saujana,1985-01-18,6
G Coffee @ Damansara Saujana,1985-03-05,6
G Coffee @ Damansara Saujana,1986-02-20,6
G Coffee @ Damansara Saujana,1986-07-27,6
G Coffee @ Damansara Saujana,1986-08-21,6
G Coffee @ Damansara Saujana,1987-05-13,6
G Coffee @ Damansara Saujana,1990-11-07,6
G Coffee @ Damansara Saujana,1998-05-29,6
G Coffee @ Damansara Saujana,2000-03-28,6
G Coffee @ Damansara Saujana,2000-07-01,6
G Coffee @ Damansara Saujana,2000-10-10,6
G Coffee @ Damansara Saujana,2000-12-29,6
G Coffee @ Damansara Saujana,2003-03-27,6
G Coffee @ Damansara Saujana,2003-06-22,6
G Coffee @ Damansara Saujana,2004-10-09,6
G Coffee @ Damansara Saujana,2007-05-22,6
G Coffee @ Damansara Saujana,1965-06-02,7
G Coffee @ Damansara Saujana,1970-04-21,7
G Coffee @ Damansara Saujana,1976-05-24,7
G Coffee @ Damansara Saujana,1977-06-27,7
G Coffee @ Damansara Saujana,1981-01-12,7
G Coffee @ Damansara Saujana,1984-01-20,7
G Coffee @ Damansara Saujana,1989-03-07,7
G Coffee @ Damansara Saujana,1995-04-18,7
G Coffee @ Kampung Changkat,1966-12-03,6
G Coffee @ Kampung Changkat,1970-08-29,6
G Coffee @ Kampung Changkat,1970-11-02,6
G Coffee @ Kampung Changkat,1973-11-19,6
G Coffee @ Kampung Changkat,1974-04-18,6
G Coffee @ Kampung Changkat,1978-06-16,6
G Coffee @ Kampung Changkat,1979-01-25,6
G Coffee @ Kampung Changkat,1979-05-25,6
G Coffee @ Kampung Changkat,1983-01-21,6
G Coffee @ Kampung Changkat,1983-10-16,6
G Coffee @ Kampung Changkat,1983-12-16,6
G Coffee @ Kampung Changkat,1987-06-02,6
G Coffee @ Kampung Changkat,1988-03-16,6
G Coffee @ Kampung Changkat,1988-06-01,6
G Coffee @ Kampung Changkat,1991-08-02,6
G Coffee @ Kampung Changkat,1994-03-16,6
G Coffee @ Kampung Changkat,1996-07-11,6
G Coffee @ Kampung Changkat,1999-12-12,6
G Coffee @ Kampung Changkat,2001-02-16,6
G Coffee @ Kampung Changkat,2003-06-14,6
G Coffee @ Kampung Changkat,2004-10-02,6
G Coffee @ Kampung Changkat,2006-06-19,6
G Coffee @ Kampung Changkat,2008-11-11,6
G Coffee @ Kampung Changkat,2009-04-15,6
G Coffee @ Kampung Changkat,1970-01-28,7
G Coffee @ Kampung Changkat,1973-08-12,7
G Coffee @ Kampung Changkat,1977-08-07,7
G Coffee @ Kampung Changkat,1984-11-07,7
G Coffee @ Kampung Changkat,1993-01-20,7
G Coffee @ Kampung Changkat,1995-10-29,7
G Coffee @ Kampung Changkat,1998-10-25,7
G Coffee @ Kampung Changkat,2001-10-10,7
G Coffee @ Kampung Changkat,2005-09-18,7
G Coffee @ Kampung Changkat,2006-08-06,7
G Coffee @ Kampung Changkat,1970-01-03,8
G Coffee @ Kondominium Putra,1966-01-12,6
G Coffee @ Kondominium Putra,1966-03-13,6
G Coffee @ Kondominium Putra,1966-09-04,6
G Coffee @ Kondominium Putra,1967-03-11,6
G Coffee @ Kondominium Putra,1968-05-09,6
G Coffee @ Kondominium Putra,1968-11-11,6
G Coffee @ Kondominium Putra,1969-11-12,6
G Coffee @ Kondominium Putra,1972-07-17,6
G Coffee @ Kondominium Putra,1973-10-22,6
G Coffee @ Kondominium Putra,1975-03-02,6
G Coffee @ Kondominium Putra,1977-03-04,6
G Coffee @ Kondominium Putra,1977-05-22,6
G Coffee @ Kondominium Putra,1977-11-09,6
G Coffee @ Kondominium Putra,1978-11-01,6
G Coffee @ Kondominium Putra,1980-03-20,6
G Coffee @ Kondominium Putra,1980-04-28,6
G Coffee @ Kondominium Putra,1981-12-15,6
G Coffee @ Kondominium Putra,1988-08-13,6
G Coffee @ Kondominium Putra,1989-06-28,6
G Coffee @ Kondominium Putra,1992-05-10,6
G Coffee @ Kondominium Putra,1993-01-29,6
G Coffee @ Kondominium Putra,1995-05-15,6
G Coffee @ Kondominium Putra,2000-10-13,6
G Coffee @ Kondominium Putra,2004-02-17,6
G Coffee @ Kondominium Putra,2004-06-28,6
G Coffee @ Kondominium Putra,2004-11-13,6
G Coffee @ Kondominium Putra,2007-03-28,6
G Coffee @ Kondominium Putra,2008-08-07,6
G Coffee @ Kondominium Putra,1983-01-06,7
G Coffee @ Kondominium Putra,1989-11-10,7
G Coffee @ Kondominium Putra,1991-02-01,7
G Coffee @ Kondominium Putra,1999-08-03,7
G Coffee @ Kondominium Putra,2002-07-23,7
G Coffee @ Kondominium Putra,2007-06-14,7
G Coffee @ Kondominium Putra,1988-09-13,8
G Coffee @ PJS8,1965-07-05,6
G Coffee @ PJS8,1965-08-20,6
G Coffee @ PJS8,1969-03-21,6
G Coffee @ PJS8,1969-05-14,6
G Coffee @ PJS8,1974-06-04,6
G Coffee @ PJS8,1974-10-13,6
G Coffee @ PJS8,1979-12-28,6
G Coffee @ PJS8,1981-01-20,6
G Coffee @ PJS8,1984-11-21,6
G Coffee @ PJS8,1988-08-04,6
G Coffee @ PJS8,1990-09-26,6
G Coffee @ PJS8,1992-11-14,6
G Coffee @ PJS8,1994-06-01,6
G Coffee @ PJS8,1995-01-20,6
G Coffee @ PJS8,1998-05-15,6
G Coffee @ PJS8,1998-09-22,6
G Coffee @ PJS8,2000-02-10,6
G Coffee @ PJS8,2001-06-26,6
G Coffee @ PJS8,2001-09-25,6
G Coffee @ PJS8,2002-01-01,6
G Coffee @ PJS8,2003-06-05,6
G Coffee @ PJS8,2004-10-02,6
G Coffee @ PJS8,2005-06-24,6
G Coffee @ PJS8,2006-07-09,6
G Coffee @ PJS8,2009-01-28,6
G Coffee @ PJS8,1972-04-10,7
G Coffee @ PJS8,1972-08-03,7
G Coffee @ PJS8,1983-08-14,7
G Coffee @ PJS8,1984-03-30,7
G Coffee @ PJS8,1990-06-01,7
G Coffee @ PJS8,2003-08-01,7
G Coffee @ PJS8,2003-08-10,7
G Coffee @ PJS8,1983-05-23,8
G Coffee @ PJS8,2003-11-05,8
G Coffee @ PJS8,1979-12-04,9
G Coffee @ Seksyen 21,1966-08-22,6
G Coffee @ Seksyen 21,1967-09-21,6
G Coffee @ Seksyen 21,1967-11-17,6
G Coffee @ Seksyen 21,1970-02-13,6
G Coffee @ Seksyen 21,1971-05-30,6
G Coffee @ Seksyen 21,1977-08-30,6
G Coffee @ Seksyen 21,1978-04-10,6
G Coffee @ Seksyen 21,1979-08-23,6
G Coffee @ Seksyen 21,1983-01-31,6
G Coffee @ Seksyen 21,1983-05-30,6
G Coffee @ Seksyen 21,1985-05-18,6
G Coffee @ Seksyen 21,1985-09-16,6
G Coffee @ Seksyen 21,1986-04-05,6
G Coffee @ Seksyen 21,1987-05-10,6
G Coffee @ Seksyen 21,1988-01-30,6
G Coffee @ Seksyen 21,1991-03-29,6
G Coffee @ Seksyen 21,1997-08-19,6
G Coffee @ Seksyen 21,1998-02-25,6
G Coffee @ Seksyen 21,1998-03-05,6
G Coffee @ Seksyen 21,1998-09-29,6
G Coffee @ Seksyen 21,1998-12-16,6
G Coffee @ Seksyen 21,1999-08-21,6
G Coffee @ Seksyen 21,2002-03-27,6
G Coffee @ Seksyen 21,2002-12-12,6
G Coffee @ Seksyen 21,1968-10-08,7
G Coffee @ Seksyen 21,1969-03-15,7
G Coffee @ Seksyen 21,1972-03-05,7
G Coffee @ Seksyen 21,1972-03-19,7
G Coffee @ Seksyen 21,1980-01-16,7
G Coffee @ Seksyen 21,1992-01-17,7
G Coffee @ Seksyen 21,1994-06-06,7
G Coffee @ Seksyen 21,1997-02-08,7
G Coffee @ Seksyen 21,1999-02-13,7
G Coffee @ Seksyen 21,2004-12-23,7
G Coffee @ Seksyen 21,2007-07-06,7
G Coffee @ Taman Damansara,1965-05-02,6
G Coffee @ Taman Damansara,1967-10-03,6
G Coffee @ Taman Damansara,1968-03-20,6
G Coffee @ Taman Damansara,1968-11-05,6
G Coffee @ Taman Damansara,1969-07-19,6
G Coffee @ Taman Damansara,1970-12-31,6
G Coffee @ Taman Damansara,1971-07-10,6
G Coffee @ Taman Damansara,1974-10-18,6
G Coffee @ Taman Damansara,1976-07-16,6
G Coffee @ Taman Damansara,1978-06-26,6
G Coffee @ Taman Damansara,1980-12-19,6
G Coffee @ Taman Damansara,1983-06-28,6
G Coffee @ Taman Damansara,1985-02-19,6
G Coffee @ Taman Damansara,1985-07-13,6
G Coffee @ Taman Damansara,1986-06-08,6
G Coffee @ Taman Damansara,1988-09-24,6
G Coffee @ Taman Damansara,1989-05-01,6
G Coffee @ Taman Damansara,1997-12-28,6
G Coffee @ Taman Damansara,1999-01-24,6
G Coffee @ Taman Damansara,2002-12-15,6
G Coffee @ Taman Damansara,2003-12-14,6
G Coffee @ Taman Damansara,2006-09-13,6
G Coffee @ Taman Damansara,2008-06-30,6
G Coffee @ Taman Damansara,2008-07-24,6
G Coffee @ Taman Damansara,2009-02-23,6
G Coffee @ Taman Damansara,1968-01-14,7
G Coffee @ Taman Damansara,1972-10-31,7
G Coffee @ Taman Damansara,1981-04-24,7
G Coffee @ Taman Damansara,1986-04-06,7
G Coffee @ Taman Damansara,1987-08-01,7
G Coffee @ Taman Damansara,1988-09-14,7
G Coffee @ Taman Damansara,1996-11-09,7
G Coffee @ Taman Damansara,2000-02-19,7
G Coffee @ Taman Damansara,2004-11-10,7
G Coffee @ Taman Damansara,2006-02-22,7
G Coffee @ USJ 57W,1965-02-27,6
G Coffee @ USJ 57W,1965-04-17,6
G Coffee @ USJ 57W,1965-05-17,6
