store_name,birthdate,purchases_qty
G Coffee @ Alam Tun Hussein Onn,1977-08-20,2
G Coffee @ Alam Tun Hussein Onn,1979-02-18,2
G Coffee @ Alam Tun Hussein Onn,1984-08-25,2
G Coffee @ Alam Tun Hussein Onn,2000-06-18,2
G Coffee @ Alam Tun Hussein Onn,2001-12-12,2
G Coffee @ Alam Tun Hussein Onn,2002-10-31,2
G Coffee @ Alam Tun Hussein Onn,2005-05-10,2
G Coffee @ Alam Tun Hussein Onn,2008-06-29,2
G Coffee @ Alam Tun Hussein Onn,1964-08-13,3
G Coffee @ Alam Tun Hussein Onn,1966-04-19,3
G Coffee @ Alam Tun Hussein Onn,1968-01-11,3
G Coffee @ Alam Tun Hussein Onn,1972-11-23,3
G Coffee @ Alam Tun Hussein Onn,1973-11-07,3
G Coffee @ Alam Tun Hussein Onn,1974-07-03,3
G Coffee @ Alam Tun Hussein Onn,1975-03-13,3
G Coffee @ Alam Tun Hussein Onn,1975-04-17,3
G Coffee @ Alam Tun Hussein Onn,1975-11-09,3
G Coffee @ Alam Tun Hussein Onn,1976-01-03,3
G Coffee @ Alam Tun Hussein Onn,1977-03-20,3
G Coffee @ Alam Tun Hussein Onn,1980-10-04,3
G Coffee @ Alam Tun Hussein Onn,1985-05-04,3
G Coffee @ Alam Tun Hussein Onn,1987-08-26,3
G Coffee @ Alam Tun Hussein Onn,1989-06-16,3
G Coffee @ Alam Tun Hussein Onn,1992-10-05,3
G Coffee @ Alam Tun Hussein Onn,1995-11-01,3
G Coffee @ Alam Tun Hussein Onn,1997-07-31,3
G Coffee @ Alam Tun Hussein Onn,1998-04-17,3
G Coffee @ Alam Tun Hussein Onn,1999-07-17,3
G Coffee @ Alam Tun Hussein Onn,2000-03-06,3
G Coffee @ Alam Tun Hussein Onn,2002-01-01,3
G Coffee @ Alam Tun Hussein Onn,2002-02-05,3
G Coffee @ Alam Tun Hussein Onn,2002-08-03,3
G Coffee @ Alam Tun Hussein Onn,2005-07-24,3
G Coffee @ Alam Tun Hussein Onn,2006-08-18,3
G Coffee @ Alam Tun Hussein Onn,2008-08-05,3
G Coffee @ Bandar Seri Mulia,1968-09-24,2
G Coffee @ Bandar Seri Mulia,1987-02-11,2
G Coffee @ Bandar Seri Mulia,1987-02-27,2
G Coffee @ Bandar Seri Mulia,1988-12-15,2
G Coffee @ Bandar Seri Mulia,1993-06-10,2
G Coffee @ Bandar Seri Mulia,1997-08-19,2
G Coffee @ Bandar Seri Mulia,2001-12-26,2
G Coffee @ Bandar Seri Mulia,1965-01-05,3
G Coffee @ Bandar Seri Mulia,1966-04-18,3
G Coffee @ Bandar Seri Mulia,1967-02-18,3
G Coffee @ Bandar Seri Mulia,1967-03-08,3
G Coffee @ Bandar Seri Mulia,1967-05-30,3
G Coffee @ Bandar Seri Mulia,1968-01-16,3
G Coffee @ Bandar Seri Mulia,1969-12-15,3
G Coffee @ Bandar Seri Mulia,1971-02-16,3
G Coffee @ Bandar Seri Mulia,1971-10-20,3
G Coffee @ Bandar Seri Mulia,1973-05-24,3
G Coffee @ Bandar Seri Mulia,1975-02-18,3
G Coffee @ Bandar Seri Mulia,1976-02-04,3
G Coffee @ Bandar Seri Mulia,1976-11-19,3
G Coffee @ Bandar Seri Mulia,1979-12-13,3
G Coffee @ Bandar Seri Mulia,1982-02-17,3
